film_id,title,studio,corpus_role,release_date,release_year,production_status,production_partners,release_type,franchise_status,source_material_status,inclusion_status,exclusion_reason,edge_case_note,primary_source,secondary_source,verification_note,retrieval_date,corpus_assignment,corporate_group_at_release,release_context,animation_form,candidate_basis
DWA_2005_WALLACE_GROMIT_THE_CURSE_OF_THE_WERE_RABBIT,Wallace & Gromit: The Curse of the Were-Rabbit,DreamWorks Animation,core,2005-10-07,2005,co_production,Aardman Animations,theatrical,first_entry,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2006_OVER_THE_HEDGE,Over the Hedge,DreamWorks Animation,core,2006-05-19,2006,co_production,Pacific Data Images,theatrical,first_entry,adaptation_existing_source,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2006_FLUSHED_AWAY,Flushed Away,DreamWorks Animation,core,2006-11-03,2006,co_production,Aardman Animations,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2007_SHREK_THE_THIRD,Shrek the Third,DreamWorks Animation,core,2007-05-18,2007,co_production,Pacific Data Images,theatrical,sequel,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2007_BEE_MOVIE,Bee Movie,DreamWorks Animation,core,2007-11-02,2007,co_production,Columbus 81 Productions,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2008_KUNG_FU_PANDA,Kung Fu Panda,DreamWorks Animation,core,2008-06-06,2008,co_production,Pacific Data Images,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2008_MADAGASCAR_ESCAPE_2_AFRICA,Madagascar: Escape 2 Africa,DreamWorks Animation,core,2008-11-07,2008,co_production,Pacific Data Images,theatrical,sequel,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2009_MONSTERS_VS_ALIENS,Monsters vs. Aliens,DreamWorks Animation,core,2009-03-27,2009,co_production,Pacific Data Images,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2010_HOW_TO_TRAIN_YOUR_DRAGON,How to Train Your Dragon,DreamWorks Animation,core,2010-03-26,2010,co_production,Pacific Data Images,theatrical,first_entry,adaptation_existing_source,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2010_SHREK_FOREVER_AFTER,Shrek Forever After,DreamWorks Animation,core,2010-05-21,2010,co_production,Pacific Data Images,theatrical,sequel,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2010_MEGAMIND,Megamind,DreamWorks Animation,core,2010-11-05,2010,co_production,Pacific Data Images,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2011_KUNG_FU_PANDA_2,Kung Fu Panda 2,DreamWorks Animation,core,2011-05-26,2011,co_production,Pacific Data Images,theatrical,sequel,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2011_PUSS_IN_BOOTS,Puss in Boots,DreamWorks Animation,core,2011-10-28,2011,co_production,Pacific Data Images,theatrical,spin_off,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2012_MADAGASCAR_3_EUROPE_S_MOST_WANTED,Madagascar 3: Europe's Most Wanted,DreamWorks Animation,core,2012-06-08,2012,co_production,Pacific Data Images,theatrical,sequel,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2012_RISE_OF_THE_GUARDIANS,Rise of the Guardians,DreamWorks Animation,core,2012-11-21,2012,sole_production,,theatrical,first_entry,adaptation_existing_source,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2013_THE_CROODS,The Croods,DreamWorks Animation,core,2013-03-22,2013,sole_production,,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2013_TURBO,Turbo,DreamWorks Animation,core,2013-07-17,2013,sole_production,,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2014_MR_PEABODY_SHERMAN,Mr. Peabody & Sherman,DreamWorks Animation,core,2014-03-07,2014,sole_production,,theatrical,first_entry,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2014_HOW_TO_TRAIN_YOUR_DRAGON_2,How to Train Your Dragon 2,DreamWorks Animation,core,2014-06-13,2014,sole_production,,theatrical,sequel,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2014_PENGUINS_OF_MADAGASCAR,Penguins of Madagascar,DreamWorks Animation,core,2014-11-26,2014,sole_production,,theatrical,spin_off,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2015_HOME,Home,DreamWorks Animation,core,2015-03-27,2015,sole_production,,theatrical,first_entry,adaptation_existing_source,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2016_KUNG_FU_PANDA_3,Kung Fu Panda 3,DreamWorks Animation,core,2016-01-29,2016,co_production,Oriental DreamWorks; China Film Group; Zhong Ming You Ying Film,theatrical,sequel,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2016_TROLLS,Trolls,DreamWorks Animation,core,2016-11-04,2016,sole_production,,theatrical,first_entry,adaptation_existing_source,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,Comcast / NBCUniversal,standard,animated,official_catalogue
DWA_2017_THE_BOSS_BABY,The Boss Baby,DreamWorks Animation,core,2017-03-31,2017,sole_production,,theatrical,first_entry,adaptation_existing_source,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,Comcast / NBCUniversal,standard,animated,official_catalogue
DWA_2017_CAPTAIN_UNDERPANTS_THE_FIRST_EPIC_MOVIE,Captain Underpants: The First Epic Movie,DreamWorks Animation,core,2017-06-02,2017,co_production,Scholastic Entertainment,theatrical,first_entry,adaptation_existing_source,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,Comcast / NBCUniversal,standard,animated,official_catalogue
DWA_2019_HOW_TO_TRAIN_YOUR_DRAGON_THE_HIDDEN_WORLD,How to Train Your Dragon: The Hidden World,DreamWorks Animation,core,2019-02-22,2019,sole_production,,theatrical,sequel,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,Comcast / NBCUniversal,standard,animated,official_catalogue
DWA_2019_ABOMINABLE,Abominable,DreamWorks Animation,core,2019-09-27,2019,co_production,Pearl Studio; Zhong Ming You Ying Film,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,Comcast / NBCUniversal,standard,animated,official_catalogue
DWA_2020_TROLLS_WORLD_TOUR,Trolls World Tour,DreamWorks Animation,core,2020-04-10,2020,sole_production,,day_and_date_theatrical_streaming,sequel,existing_screen_ip,INCLUDE,,COVID-disrupted release with simultaneous premium home availability and genuine theatrical exhibition; retained under the day-and-date rule.,https://www.nbcuniversal.com/article/comcast-nbcuniversal-moves-make-current-movies-available-home,https://www.dreamworks.com/movies,"NBCUniversal explicitly announced Trolls World Tour as a day-and-date theatrical/PVOD release, including local theatrical release where available.",2026-08-18,CORE_DWA,Comcast / NBCUniversal,covid_disrupted,animated,official_catalogue
DWA_2020_THE_CROODS_A_NEW_AGE,The Croods: A New Age,DreamWorks Animation,core,2020-11-25,2020,sole_production,,theatrical,sequel,existing_screen_ip,INCLUDE,,COVID-era theatrical release; retained and flagged rather than excluded.,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,Comcast / NBCUniversal,covid_disrupted,animated,official_catalogue
DWA_2021_SPIRIT_UNTAMED,Spirit Untamed,DreamWorks Animation,core,2021-06-04,2021,sole_production,,theatrical,spin_off,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,Comcast / NBCUniversal,standard,animated,official_catalogue
DWA_2021_THE_BOSS_BABY_FAMILY_BUSINESS,The Boss Baby: Family Business,DreamWorks Animation,core,2021-07-02,2021,sole_production,,day_and_date_theatrical_streaming,sequel,existing_screen_ip,INCLUDE,,Released in theaters and simultaneously on Peacock; retained under the day-and-date rule.,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,Comcast / NBCUniversal,covid_disrupted,animated,official_catalogue
DWA_2022_THE_BAD_GUYS,The Bad Guys,DreamWorks Animation,core,2022-04-22,2022,sole_production,,theatrical,first_entry,adaptation_existing_source,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,Comcast / NBCUniversal,standard,animated,official_catalogue
DWA_2022_PUSS_IN_BOOTS_THE_LAST_WISH,Puss in Boots: The Last Wish,DreamWorks Animation,core,2022-12-21,2022,sole_production,,theatrical,sequel,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,Comcast / NBCUniversal,standard,animated,official_catalogue
DWA_2023_RUBY_GILLMAN_TEENAGE_KRAKEN,"Ruby Gillman, Teenage Kraken",DreamWorks Animation,core,2023-06-30,2023,sole_production,,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,Comcast / NBCUniversal,standard,animated,official_catalogue
DWA_2023_TROLLS_BAND_TOGETHER,Trolls Band Together,DreamWorks Animation,core,2023-11-17,2023,sole_production,,theatrical,sequel,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,Comcast / NBCUniversal,standard,animated,official_catalogue
DWA_2024_KUNG_FU_PANDA_4,Kung Fu Panda 4,DreamWorks Animation,core,2024-03-08,2024,sole_production,,theatrical,sequel,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,Comcast / NBCUniversal,standard,animated,official_catalogue
DWA_2024_THE_WILD_ROBOT,The Wild Robot,DreamWorks Animation,core,2024-09-27,2024,sole_production,,theatrical,first_entry,adaptation_existing_source,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,Comcast / NBCUniversal,standard,animated,official_catalogue
DWA_2025_DOG_MAN,Dog Man,DreamWorks Animation,core,2025-01-31,2025,sole_production,,theatrical,first_entry,adaptation_existing_source,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,Comcast / NBCUniversal,standard,animated,official_catalogue
DWA_2025_THE_BAD_GUYS_2,The Bad Guys 2,DreamWorks Animation,core,2025-08-01,2025,sole_production,,theatrical,sequel,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,Comcast / NBCUniversal,standard,animated,official_catalogue
PIXAR_1998_A_BUG_S_LIFE,A Bug's Life,Pixar Animation Studios,disney_pixar,1998-11-25,1998,co_production,Walt Disney Pictures,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.pixar.com/feature-films,https://www.sec.gov/Archives/edgar/data/1002114/000119312506047278/d10k.htm,Pixar studio attribution is preserved. Pixar SEC filings identify this title as governed by the Disney-Pixar Co-Production Agreement (Toy Story 2 as a sequel governed by the same agreement). Pixar was still independent at release; Disney co-financed/co-branded the qualifying partnership films.,2026-08-19,DISNEY_PIXAR,Pixar Animation Studios (independent),standard,animated,official_feature_list
PIXAR_1999_TOY_STORY_2,Toy Story 2,Pixar Animation Studios,disney_pixar,1999-11-24,1999,co_production,Walt Disney Pictures,theatrical,sequel,existing_screen_ip,INCLUDE,,,https://www.pixar.com/feature-films,https://www.sec.gov/Archives/edgar/data/1002114/000119312506047278/d10k.htm,Pixar studio attribution is preserved. Pixar SEC filings identify this title as governed by the Disney-Pixar Co-Production Agreement (Toy Story 2 as a sequel governed by the same agreement). Pixar was still independent at release; Disney co-financed/co-branded the qualifying partnership films.,2026-08-19,DISNEY_PIXAR,Pixar Animation Studios (independent),standard,animated,official_feature_list
PIXAR_2001_MONSTERS_INC,"Monsters, Inc.",Pixar Animation Studios,disney_pixar,2001-11-02,2001,co_production,Walt Disney Pictures,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.pixar.com/feature-films,https://www.sec.gov/Archives/edgar/data/1002114/000119312506047278/d10k.htm,Pixar studio attribution is preserved. Pixar SEC filings identify this title as governed by the Disney-Pixar Co-Production Agreement (Toy Story 2 as a sequel governed by the same agreement). Pixar was still independent at release; Disney co-financed/co-branded the qualifying partnership films.,2026-08-19,DISNEY_PIXAR,Pixar Animation Studios (independent),standard,animated,official_feature_list
PIXAR_2003_FINDING_NEMO,Finding Nemo,Pixar Animation Studios,disney_pixar,2003-05-30,2003,co_production,Walt Disney Pictures,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.pixar.com/feature-films,https://www.sec.gov/Archives/edgar/data/1002114/000119312506047278/d10k.htm,Pixar studio attribution is preserved. Pixar SEC filings identify this title as governed by the Disney-Pixar Co-Production Agreement (Toy Story 2 as a sequel governed by the same agreement). Pixar was still independent at release; Disney co-financed/co-branded the qualifying partnership films.,2026-08-19,DISNEY_PIXAR,Pixar Animation Studios (independent),standard,animated,official_feature_list
PIXAR_2004_THE_INCREDIBLES,The Incredibles,Pixar Animation Studios,disney_pixar,2004-11-05,2004,co_production,Walt Disney Pictures,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.pixar.com/feature-films,https://www.sec.gov/Archives/edgar/data/1002114/000119312506047278/d10k.htm,Pixar studio attribution is preserved. Pixar SEC filings identify this title as governed by the Disney-Pixar Co-Production Agreement (Toy Story 2 as a sequel governed by the same agreement). Pixar was still independent at release; Disney co-financed/co-branded the qualifying partnership films.,2026-08-19,DISNEY_PIXAR,Pixar Animation Studios (independent),standard,animated,official_feature_list
PIXAR_2006_CARS,Cars,Pixar Animation Studios,disney_pixar,2006-06-09,2006,co_production,Walt Disney Pictures,theatrical,first_entry,original_screen_ip,INCLUDE,,Disney completed the Pixar acquisition on 2006-05-05; Cars opened on 2006-06-09. Pixar SEC filings also identify Cars as the fifth original Picture under the pre-existing Disney-Pixar Co-Production Agreement. It is therefore Disney-side at release while remaining a Pixar film.,https://www.pixar.com/feature-films,https://www.sec.gov/Archives/edgar/data/1002114/000119312506047278/d10k.htm,Pixar studio attribution preserved; post-acquisition Disney corporate group at release. Co-production status retained because Cars was governed by the Disney-Pixar Co-Production Agreement.,2026-08-19,DISNEY_PIXAR,The Walt Disney Company,standard,animated,official_feature_list
PIXAR_2007_RATATOUILLE,Ratatouille,Pixar Animation Studios,disney_pixar,2007-06-29,2007,co_production,Walt Disney Pictures,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.pixar.com/feature-films,https://www.pixar.com/our-story,Pixar feature status confirmed by Pixar's official feature-film list; release chronology cross-checked against Pixar's official history. Streaming-first exceptions retain their original release strategy.,2026-08-19,DISNEY_PIXAR,The Walt Disney Company,standard,animated,official_feature_list
